日期,天气情况,气温
2019年01月01日,阴/小雨,11℃/7℃
2019年01月02日,小雨/小雨,11℃/8℃
2019年01月03日,小雨/阴,14℃/9℃
2019年01月04日,阴/小雨,18℃/14℃
2019年01月05日,阴/阴,18℃/12℃
2019年01月06日,阴/阴,16℃/11℃
2019年01月07日,阴/小雨,18℃/12℃
2019年01月08日,阴/小雨,17℃/13℃
2019年01月09日,小雨/小雨,19℃/12℃
2019年01月10日,小雨/阴,21℃/14℃
2019年01月11日,阴/小雨,21℃/16℃
2019年01月12日,阴/阴,20℃/15℃
2019年01月13日,阴/阴,21℃/16℃
2019年01月14日,阴/阴,23℃/17℃
2019年01月15日,小雨/小雨,20℃/11℃
2019年01月16日,阴/阴,15℃/11℃
2019年01月17日,多云/多云,18℃/9℃
2019年01月18日,多云/阴,19℃/10℃
2019年01月19日,阴/小雨,21℃/15℃
2019年01月20日,多云/小雨,24℃/11℃
2019年01月21日,多云/晴,16℃/9℃
2019年01月22日,多云/晴,19℃/7℃
2019年01月23日,晴/晴,21℃/9℃
2019年01月24日,晴/多云,21℃/12℃
2019年01月25日,晴/晴,23℃/13℃
2019年01月26日,晴/晴,20℃/10℃
2019年01月27日,晴/晴,23℃/10℃
2019年01月28日,多云/晴,23℃/11℃
2019年01月29日,多云/多云,23℃/15℃
2019年01月30日,多云/多云,24℃/14℃
2019年01月31日,多云/多云,25℃/11℃
2019年02月01日,多云/小雨,19℃/13℃
2019年02月02日,阴/阴,21℃/16℃
2019年02月03日,阴/阴,24℃/16℃
2019年02月04日,多云/多云,26℃/17℃
2019年02月05日,阴/多云,25℃/19℃
2019年02月06日,阴/多云,25℃/19℃
2019年02月07日,阴/多云,27℃/20℃
2019年02月08日,多云/多云,28℃/20℃
2019年02月09日,多云/多云,25℃/18℃
2019年02月10日,阴/阴,15℃/12℃
2019年02月11日,阴/多云,16℃/13℃
2019年02月12日,多云/多云,20℃/17℃
2019年02月13日,多云/阴,25℃/18℃
2019年02月14日,阴/阴,23℃/18℃
2019年02月15日,小雨/小雨,26℃/18℃
2019年02月16日,小雨/小雨,26℃/17℃
2019年02月17日,阴/小雨,20℃/16℃
2019年02月18日,大雨/大雨,20℃/17℃
2019年02月19日,阵雨/阵雨,21℃/16℃
2019年02月20日,阵雨/小到中雨,25℃/17℃
2019年02月21日,小到中雨/多云,25℃/17℃
2019年02月22日,阴/小到中雨,20℃/12℃
2019年02月23日,小到中雨/阵雨,15℃/11℃
2019年02月24日,阴/多云,16℃/12℃
2019年02月25日,阴/小雨,19℃/12℃
2019年02月26日,小雨/小雨,17℃/13℃
2019年02月27日,阴/阴,22℃/17℃
2019年02月28日,阴/阴,23℃/18℃
2019年03月01日,多云/多云,24℃/18℃
2019年03月02日,多云/中雨,26℃/16℃
2019年03月03日,小雨/多云,21℃/14℃
2019年03月04日,小雨/中雨,23℃/15℃
2019年03月05日,阵雨/中雨,22℃/17℃
2019年03月06日,中到大雨/大雨,21℃/13℃
2019年03月07日,中雨/中到大雨,16℃/13℃
2019年03月08日,中雨/小到中雨,17℃/13℃
2019年03月09日,大雨/中雨,17℃/13℃
2019年03月10日,小雨/多云,17℃/12℃
2019年03月11日,多云/晴,20℃/14℃
2019年03月12日,晴/多云,25℃/15℃
2019年03月13日,多云/中雨,24℃/14℃
2019年03月14日,阵雨/小雨,21℃/16℃
2019年03月15日,阴/多云,20℃/14℃
2019年03月16日,多云/多云,24℃/17℃
2019年03月17日,多云/小雨,24℃/18℃
2019年03月18日,阴/阴,26℃/20℃
2019年03月19日,多云/多云,25℃/19℃
2019年03月20日,阵雨/阵雨,28℃/22℃
2019年03月21日,多云/雷阵雨,28℃/20℃
2019年03月22日,雷阵雨/中雨,27℃/15℃
2019年03月23日,小雨/小雨,18℃/14℃
2019年03月24日,中雨/中雨,17℃/12℃
2019年03月25日,小雨/阴,19℃/14℃
2019年03月26日,多云/多云,26℃/18℃
2019年03月27日,多云/阴,26℃/20℃
2019年03月28日,多云/阴,27℃/21℃
2019年03月29日,中雨/雷阵雨,27℃/20℃
2019年03月30日,多云/阵雨,28℃/20℃
2019年03月31日,雷阵雨/阵雨,27℃/19℃
